,0,1
Dayswus,550.0,1250.0
Age,18.0,78.0
Edu,12.0,20.0
Income,10000.0,140628.0
Kidhome,0.0,1.0
Teenhome,0.0,1.0
Freq,1.0,56.0
Recency,0.0,549.0
Monetary,6.0,3052.0
LTV,-178.0,1791.0
Perdeal,0.0,97.0
Dryred,1.0,99.0
Sweetred,0.0,75.0
Drywh,1.0,74.0
Sweetwh,0.0,62.0
Dessert,0.0,77.0
Exotic,0.0,96.0
WebPurchase,4.0,88.0
WebVisit,0.0,10.0
SMRack,0.0,1.0
LGRack,0.0,1.0
Humid,0.0,1.0
Spcork,0.0,1.0
Bucket,0.0,1.0
Access,0.0,3.0
Complain,0.0,1.0
Mailfriend,0.0,1.0
Emailfriend,0.0,1.0
Avr_purchase,6.0,54.5
km_labels,0.0,2.0
